[Full Training] Normal loss: 2.2070, Plan similarity: 0.5000, Random contrast: 0.6016
[Full Training] Normal loss: 0.4839, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4752, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4873, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5800, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.6878, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5695, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4586, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5207, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4799, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.4133, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4770, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.5333, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3648, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.4851, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4882, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.5379, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.4997, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4468, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4339, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3923, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.6291, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4985, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4570, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5247, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3955, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4760, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4640, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4914, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4580, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3639, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5845, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3878, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4936, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.6116, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3841, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5226, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3801, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3806, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4253, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3879, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3537, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4818, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5170, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3610, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4701, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3858, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5826, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5537, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5620, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4500, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4187, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4658, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4116, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4467, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4767, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3901, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3067, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4891, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5017, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4336, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3081, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3895, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3999, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4459, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.2958, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3182, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5407, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3451, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.2706, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4375, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3353, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4078, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5068, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4382, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3755, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4290, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3403, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3325, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4469, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3393, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4931, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3423, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3528, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3753, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4198, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3374, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3748, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3758, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4611, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4008, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3397, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3375, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.2857, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5256, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3792, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3683, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4918, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3146, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4175, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3819, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3107, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4323, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3045, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3057, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5260, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4388, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.2893, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3152, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3669, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.2757, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.2952, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5076, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3674, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4111, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3251, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.2934, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.2800, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3537, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3114, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3320, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3820, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3841, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3745, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3433, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3086, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3493, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4109, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3575, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4781, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4927, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4076, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4826, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4474, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4289, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5535, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4445, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4079, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4109, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4321, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4186, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5581, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4663, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4188, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3286, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4279, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3531, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.3562, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5406, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4996, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4135, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3603, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3401, Plan similarity: 0.5000, Random contrast: 0.5625
[Full Training] Normal loss: 0.3507, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.3669, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.3737, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.3071, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.3762, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.3826, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4722, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3445, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3888, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3782, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3355, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2723, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3705, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3700, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3013, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4092, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.5735, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3734, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3147, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3892, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2835, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4251, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3687, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2700, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3178, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.2396, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3346, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3167, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4147, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3494, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.2862, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.3333, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3044, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3360, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3193, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.3741, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.3088, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.3401, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2982, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.3287, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.3296, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.4152, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2806, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2576, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2631, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3014, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3747, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.3510, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.5853, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.3661, Plan similarity: 0.5000, Random contrast: 0.6172
[Full Training] Normal loss: 0.3228, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.3391, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.4329, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3105, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3412, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2617, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3330, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2867, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2886, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3133, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3818, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4577, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2790, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3319, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3608, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2751, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2704, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2738, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3456, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4177, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2491, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.4589, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2502, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3031, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3296, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2788, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.4869, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2457, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2616, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2281, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2898, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3638, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2699, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.3591, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.4416, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.3006, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.3044, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.2875, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.3349, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3506, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.4842, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2743, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.2757, Plan similarity: 0.5000, Random contrast: 0.6602
[Full Training] Normal loss: 0.3562, Plan similarity: 0.5000, Random contrast: 0.5156
[Full Training] Normal loss: 0.3776, Plan similarity: 0.5000, Random contrast: 0.4863
[Full Training] Normal loss: 0.3465, Plan similarity: 0.5000, Random contrast: 0.5840
[Full Training] Normal loss: 0.3603, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3089, Plan similarity: 0.5000, Random contrast: 0.4531
[Full Training] Normal loss: 0.2789, Plan similarity: 0.5000, Random contrast: 0.6875
