drop_pct,comp_rate_bits_per_token,CE_full_bits,CE_comp_bits,method_detail,rate_unit,Delta_CE_bits,Delta_CE_pct,method,x_column,x_label,length_value
84.0,97539.8,0.0685,0.1205,drop_84%,bits/token,0.052,75.9124,Training Free,drop_pct,Drop Percentage (%),
86.0,85352.6,0.0685,0.1225,drop_86%,bits/token,0.054,78.8321,Training Free,drop_pct,Drop Percentage (%),
88.0,73158.4,0.0685,0.1265,drop_88%,bits/token,0.058,84.6715,Training Free,drop_pct,Drop Percentage (%),
90.0,60920.4,0.0685,0.1293,drop_90%,bits/token,0.0608,88.7591,Training Free,drop_pct,Drop Percentage (%),
92.0,48783.7,0.0685,0.1314,drop_92%,bits/token,0.0629,91.8248,Training Free,drop_pct,Drop Percentage (%),
94.0,36546.7,0.0685,0.1315,drop_94%,bits/token,0.063,91.9708,Training Free,drop_pct,Drop Percentage (%),
96.0,24394.1,0.0685,0.1412,drop_96%,bits/token,0.0727,106.1314,Training Free,drop_pct,Drop Percentage (%),
98.0,12220.4,0.0685,0.1479,drop_98%,bits/token,0.0794,115.9124,Training Free,drop_pct,Drop Percentage (%),
100.0,0.0,0.0685,0.1515,drop_100%,bits/token,0.083,121.1679,Training Free,drop_pct,Drop Percentage (%),
,11134.5,0.0685,0.1434,length_8,bits/hidden state,0.0749,109.3431,Training,length_value,Length Value,8.0
,22268.9,0.0685,0.1429,length_16,bits/hidden state,0.0744,108.6131,Training,length_value,Length Value,16.0
,44537.8,0.0685,0.1339,length_32,bits/hidden state,0.0654,95.4745,Training,length_value,Length Value,32.0
,89075.6,0.0685,0.1104,length_64,bits/hidden state,0.0419,61.1679,Training,length_value,Length Value,64.0
,178151.2,0.0685,0.1001,length_128,bits/hidden state,0.0316,46.1314,Training,length_value,Length Value,128.0
