Normal loss: 1.9329, Plan similarity: 0.1982, Random contrast: 0.6719
Normal loss: 0.4348, Plan similarity: 0.2363, Random contrast: 0.6797
Normal loss: 0.5511, Plan similarity: 0.3008, Random contrast: 0.6406
Normal loss: 0.3682, Plan similarity: 2.2812, Random contrast: 0.6250
Normal loss: 0.3105, Plan similarity: 0.4434, Random contrast: 0.6484
Normal loss: 0.3610, Plan similarity: 0.3281, Random contrast: 0.6445
Normal loss: 0.5447, Plan similarity: 4.8125, Random contrast: 0.6719
Normal loss: 0.3619, Plan similarity: 0.4082, Random contrast: 0.5820
Normal loss: 0.4907, Plan similarity: 0.0520, Random contrast: 0.6094
Normal loss: 0.5514, Plan similarity: 0.4082, Random contrast: 0.6016
Normal loss: 0.5197, Plan similarity: 1.6250, Random contrast: 0.5781
Normal loss: 0.4816, Plan similarity: 3.9219, Random contrast: 0.5703
Normal loss: 0.4179, Plan similarity: 3.8594, Random contrast: 0.5859
Normal loss: 0.2884, Plan similarity: 0.6758, Random contrast: 0.6055
Normal loss: 0.3643, Plan similarity: 0.5742, Random contrast: 0.5977
Normal loss: 0.4661, Plan similarity: 1.4062, Random contrast: 0.6211
Normal loss: 0.4303, Plan similarity: 0.2578, Random contrast: 0.6367
Normal loss: 0.4168, Plan similarity: 0.1035, Random contrast: 0.6562
Normal loss: 0.3476, Plan similarity: 3.0312, Random contrast: 0.6797
Normal loss: 0.3275, Plan similarity: 2.3906, Random contrast: 0.6875
Normal loss: 0.4005, Plan similarity: 2.5000, Random contrast: 0.6836
Normal loss: 0.3764, Plan similarity: 0.1011, Random contrast: 0.6797
Normal loss: 0.3925, Plan similarity: 2.6094, Random contrast: 0.6641
Normal loss: 0.3623, Plan similarity: 0.1582, Random contrast: 0.6680
Normal loss: 0.3549, Plan similarity: 0.3926, Random contrast: 0.6484
Normal loss: 0.4920, Plan similarity: 0.1865, Random contrast: 0.6172
Normal loss: 0.4366, Plan similarity: 0.1006, Random contrast: 0.6836
Normal loss: 0.3950, Plan similarity: 0.1455, Random contrast: 0.6875
Normal loss: 0.3956, Plan similarity: 0.3164, Random contrast: 0.6641
Normal loss: 0.3592, Plan similarity: 2.4219, Random contrast: 0.6758
Normal loss: 0.3465, Plan similarity: 0.1631, Random contrast: 0.6719
Normal loss: 0.2927, Plan similarity: 3.3125, Random contrast: 0.6719
Normal loss: 0.2965, Plan similarity: 0.1143, Random contrast: 0.6641
Normal loss: 0.3215, Plan similarity: 0.1187, Random contrast: 0.6094
Normal loss: 0.4036, Plan similarity: 0.3008, Random contrast: 0.6719
Normal loss: 0.3338, Plan similarity: 0.2295, Random contrast: 0.6406
Normal loss: 0.4092, Plan similarity: 0.0289, Random contrast: 0.6875
Normal loss: 0.3628, Plan similarity: 3.5781, Random contrast: 0.6914
Normal loss: 0.3689, Plan similarity: 0.0376, Random contrast: 0.6836
Normal loss: 0.4310, Plan similarity: 0.0267, Random contrast: 0.6914
Normal loss: 0.4014, Plan similarity: 0.0204, Random contrast: 0.6914
Normal loss: 0.3504, Plan similarity: 0.0410, Random contrast: 0.6875
Normal loss: 0.3200, Plan similarity: 0.0435, Random contrast: 0.6914
Normal loss: 0.3904, Plan similarity: 1.8906, Random contrast: 0.6914
Normal loss: 0.3245, Plan similarity: 0.0378, Random contrast: 0.6914
Normal loss: 0.4354, Plan similarity: 0.0374, Random contrast: 0.6875
Normal loss: 0.4713, Plan similarity: 0.0330, Random contrast: 0.6914
Normal loss: 0.3722, Plan similarity: 2.8438, Random contrast: 0.6875
Normal loss: 0.4874, Plan similarity: 1.8047, Random contrast: 0.6875
Normal loss: 0.2771, Plan similarity: 2.5156, Random contrast: 0.6875
Normal loss: 0.3491, Plan similarity: 0.0425, Random contrast: 0.4395
Normal loss: 0.3078, Plan similarity: 0.0266, Random contrast: 0.6875
Normal loss: 0.3853, Plan similarity: 4.4062, Random contrast: 0.5273
Normal loss: 0.3079, Plan similarity: 0.0493, Random contrast: 0.6875
Normal loss: 0.3275, Plan similarity: 0.0415, Random contrast: 0.6875
Normal loss: 0.4977, Plan similarity: 0.0596, Random contrast: 0.6875
Normal loss: 0.4863, Plan similarity: 0.0664, Random contrast: 0.6719
Normal loss: 0.2788, Plan similarity: 0.0425, Random contrast: 0.6641
Normal loss: 0.3599, Plan similarity: 0.1768, Random contrast: 0.6328
Normal loss: 0.3819, Plan similarity: 0.0488, Random contrast: 0.6875
Normal loss: 0.3668, Plan similarity: 0.0405, Random contrast: 0.6562
Normal loss: 0.3158, Plan similarity: 0.0674, Random contrast: 0.6875
Normal loss: 0.3523, Plan similarity: 4.3750, Random contrast: 0.6875
Normal loss: 0.4315, Plan similarity: 0.0596, Random contrast: 0.6875
Normal loss: 0.3817, Plan similarity: 0.0398, Random contrast: 0.6875
Normal loss: 0.2727, Plan similarity: 0.0601, Random contrast: 0.6875
Normal loss: 0.4020, Plan similarity: 0.0522, Random contrast: 0.6875
Normal loss: 0.4185, Plan similarity: 0.0610, Random contrast: 0.6875
Normal loss: 0.3047, Plan similarity: 3.0156, Random contrast: 0.6914
Normal loss: 0.4796, Plan similarity: 0.0703, Random contrast: 0.6875
Normal loss: 0.3705, Plan similarity: 0.0713, Random contrast: 0.6875
Normal loss: 0.3863, Plan similarity: 3.4844, Random contrast: 0.6875
Normal loss: 0.3280, Plan similarity: 0.0854, Random contrast: 0.6875
Normal loss: 0.3533, Plan similarity: 2.1250, Random contrast: 0.6875
Normal loss: 0.3906, Plan similarity: 0.0713, Random contrast: 0.6875
Normal loss: 0.3807, Plan similarity: 0.0364, Random contrast: 0.6875
Normal loss: 0.3475, Plan similarity: 0.0752, Random contrast: 0.6914
Normal loss: 0.3351, Plan similarity: 0.0342, Random contrast: 0.6914
Normal loss: 0.3577, Plan similarity: 2.0156, Random contrast: 0.6875
Normal loss: 0.3036, Plan similarity: 2.8125, Random contrast: 0.6875
Normal loss: 0.3393, Plan similarity: 2.7188, Random contrast: 0.6875
Normal loss: 0.4341, Plan similarity: 1.8203, Random contrast: 0.6875
Normal loss: 0.3187, Plan similarity: 3.4062, Random contrast: 0.6914
Normal loss: 0.2347, Plan similarity: 0.7109, Random contrast: 0.6914
Normal loss: 0.2648, Plan similarity: 1.5156, Random contrast: 0.6875
Normal loss: 0.3270, Plan similarity: 3.9062, Random contrast: 0.6914
Normal loss: 0.3523, Plan similarity: 0.0493, Random contrast: 0.6875
Normal loss: 0.4951, Plan similarity: 0.0388, Random contrast: 0.6875
Normal loss: 0.3105, Plan similarity: 2.8594, Random contrast: 0.6914
Normal loss: 0.3373, Plan similarity: 0.0415, Random contrast: 0.6914
Normal loss: 0.3181, Plan similarity: 0.0498, Random contrast: 0.6875
Normal loss: 0.3169, Plan similarity: 0.0547, Random contrast: 0.6914
Normal loss: 0.3101, Plan similarity: 2.3125, Random contrast: 0.6914
Normal loss: 0.4213, Plan similarity: 0.0354, Random contrast: 0.6875
Normal loss: 0.3793, Plan similarity: 0.0659, Random contrast: 0.6875
Normal loss: 0.3791, Plan similarity: 0.0198, Random contrast: 0.6875
Normal loss: 0.2972, Plan similarity: 0.0571, Random contrast: 0.6875
Normal loss: 0.2937, Plan similarity: 0.0537, Random contrast: 0.6914
Normal loss: 0.3681, Plan similarity: 0.0771, Random contrast: 0.6875
Normal loss: 0.2274, Plan similarity: 2.7812, Random contrast: 0.6875
Normal loss: 0.2512, Plan similarity: 0.0840, Random contrast: 0.6875
Normal loss: 0.3430, Plan similarity: 0.8867, Random contrast: 0.6914
Normal loss: 0.3176, Plan similarity: 3.4688, Random contrast: 0.6875
Normal loss: 0.3007, Plan similarity: 0.0454, Random contrast: 0.6875
Normal loss: 0.2908, Plan similarity: 0.0540, Random contrast: 0.6875
Normal loss: 0.2841, Plan similarity: 1.5391, Random contrast: 0.6875
Normal loss: 0.3455, Plan similarity: 0.0415, Random contrast: 0.6875
Normal loss: 0.2957, Plan similarity: 4.8750, Random contrast: 0.6875
Normal loss: 0.2892, Plan similarity: 2.0469, Random contrast: 0.6914
Normal loss: 0.2238, Plan similarity: 1.6094, Random contrast: 0.6914
Normal loss: 0.5069, Plan similarity: 0.0796, Random contrast: 0.6875
Normal loss: 0.4795, Plan similarity: 0.0786, Random contrast: 0.6875
Normal loss: 0.3009, Plan similarity: 0.0603, Random contrast: 0.6875
Normal loss: 0.2523, Plan similarity: 1.2344, Random contrast: 0.6875
Normal loss: 0.3876, Plan similarity: 0.0586, Random contrast: 0.6875
Normal loss: 0.2584, Plan similarity: 0.0238, Random contrast: 0.6875
Normal loss: 0.2603, Plan similarity: 3.2344, Random contrast: 0.6875
Normal loss: 0.3624, Plan similarity: 0.0684, Random contrast: 0.6914
Normal loss: 0.2682, Plan similarity: 1.9219, Random contrast: 0.6875
Normal loss: 0.3112, Plan similarity: 0.0393, Random contrast: 0.6875
Normal loss: 0.3279, Plan similarity: 0.0204, Random contrast: 0.6875
Normal loss: 0.2539, Plan similarity: 0.0601, Random contrast: 0.6875
Normal loss: 0.4555, Plan similarity: 0.0510, Random contrast: 0.6875
Normal loss: 0.3993, Plan similarity: 1.2344, Random contrast: 0.6875
Normal loss: 0.3704, Plan similarity: 2.8906, Random contrast: 0.6875
Normal loss: 0.3343, Plan similarity: 0.0532, Random contrast: 0.6914
Normal loss: 0.3831, Plan similarity: 2.5000, Random contrast: 0.6914
Normal loss: 0.3893, Plan similarity: 0.0479, Random contrast: 0.6875
Normal loss: 0.3623, Plan similarity: 0.0317, Random contrast: 0.6875
Normal loss: 0.3032, Plan similarity: 0.0310, Random contrast: 0.6875
Normal loss: 0.4166, Plan similarity: 1.1953, Random contrast: 0.6875
Normal loss: 0.4786, Plan similarity: 0.0420, Random contrast: 0.6914
Normal loss: 0.3837, Plan similarity: 0.2832, Random contrast: 0.6875
Normal loss: 0.2802, Plan similarity: 0.0425, Random contrast: 0.6875
Normal loss: 0.4312, Plan similarity: 0.0664, Random contrast: 0.6875
Normal loss: 0.3240, Plan similarity: 0.0459, Random contrast: 0.6875
Normal loss: 0.3965, Plan similarity: 0.0391, Random contrast: 0.6875
Normal loss: 0.3579, Plan similarity: 0.0437, Random contrast: 0.6914
Normal loss: 0.2247, Plan similarity: 1.1484, Random contrast: 0.6875
Normal loss: 0.2879, Plan similarity: 1.7188, Random contrast: 0.6875
Normal loss: 0.3189, Plan similarity: 0.0454, Random contrast: 0.6875
Normal loss: 0.3923, Plan similarity: 2.8594, Random contrast: 0.6875
Normal loss: 0.2261, Plan similarity: 0.0391, Random contrast: 0.6875
Normal loss: 0.3113, Plan similarity: 2.3750, Random contrast: 0.6875
Normal loss: 0.2552, Plan similarity: 1.4375, Random contrast: 0.6875
Normal loss: 0.3874, Plan similarity: 1.0156, Random contrast: 0.6875
Normal loss: 0.3704, Plan similarity: 0.0356, Random contrast: 0.6875
Normal loss: 0.3139, Plan similarity: 0.0625, Random contrast: 0.6875
Normal loss: 0.4227, Plan similarity: 0.0371, Random contrast: 0.6875
Normal loss: 0.3349, Plan similarity: 0.0479, Random contrast: 0.6875
Normal loss: 0.3767, Plan similarity: 2.5000, Random contrast: 0.6875
Normal loss: 0.4733, Plan similarity: 0.0286, Random contrast: 0.6875
Normal loss: 0.2525, Plan similarity: 2.9375, Random contrast: 0.6875
Normal loss: 0.2274, Plan similarity: 2.1875, Random contrast: 0.6875
Normal loss: 0.2279, Plan similarity: 2.4375, Random contrast: 0.6875
Normal loss: 0.2562, Plan similarity: 0.0579, Random contrast: 0.6875
Normal loss: 0.3758, Plan similarity: 0.0161, Random contrast: 0.6875
Normal loss: 0.3044, Plan similarity: 4.8750, Random contrast: 0.6875
Normal loss: 0.4162, Plan similarity: 0.1094, Random contrast: 0.6836
Normal loss: 0.2539, Plan similarity: 1.8281, Random contrast: 0.6875
Normal loss: 0.3134, Plan similarity: 0.0918, Random contrast: 0.6797
Normal loss: 0.2806, Plan similarity: 0.0771, Random contrast: 0.6875
Normal loss: 0.2977, Plan similarity: 0.0947, Random contrast: 0.6875
Normal loss: 0.4616, Plan similarity: 0.1250, Random contrast: 0.6875
Normal loss: 0.3771, Plan similarity: 0.5508, Random contrast: 0.6875
Normal loss: 0.3178, Plan similarity: 0.1240, Random contrast: 0.6914
Normal loss: 0.2998, Plan similarity: 0.1523, Random contrast: 0.6875
Normal loss: 0.2871, Plan similarity: 2.5156, Random contrast: 0.6797
Normal loss: 0.4890, Plan similarity: 2.6875, Random contrast: 0.6875
Normal loss: 0.3140, Plan similarity: 0.1953, Random contrast: 0.6680
Normal loss: 0.2276, Plan similarity: 0.1064, Random contrast: 0.6836
Normal loss: 0.3898, Plan similarity: 3.3750, Random contrast: 0.6758
Normal loss: 0.2341, Plan similarity: 1.0469, Random contrast: 0.6133
Normal loss: 0.3568, Plan similarity: 0.2285, Random contrast: 0.5234
Normal loss: 0.3596, Plan similarity: 1.1875, Random contrast: 0.5938
Normal loss: 0.3607, Plan similarity: 0.2402, Random contrast: 0.5508
Normal loss: 0.2704, Plan similarity: 1.1875, Random contrast: 0.5391
Normal loss: 0.2532, Plan similarity: 0.3613, Random contrast: 0.5664
Normal loss: 0.3191, Plan similarity: 0.4883, Random contrast: 0.5078
Normal loss: 0.3268, Plan similarity: 0.2432, Random contrast: 0.6250
Normal loss: 0.3005, Plan similarity: 0.6133, Random contrast: 0.5078
Normal loss: 0.3149, Plan similarity: 0.0566, Random contrast: 0.6484
Normal loss: 0.3802, Plan similarity: 0.0908, Random contrast: 0.6406
