Normal loss: 1.9329, Plan similarity: 0.1982, Random contrast: 0.6719
Normal loss: 0.6906, Plan similarity: 0.0220, Random contrast: 0.6875
Normal loss: 0.5883, Plan similarity: 0.0513, Random contrast: 0.6914
Normal loss: 0.6125, Plan similarity: 0.0322, Random contrast: 0.6914
Normal loss: 0.6438, Plan similarity: 0.0171, Random contrast: 0.6875
Normal loss: 0.5732, Plan similarity: 0.0571, Random contrast: 0.6914
Normal loss: 0.5452, Plan similarity: 0.0256, Random contrast: 0.6914
Normal loss: 0.5827, Plan similarity: 0.0464, Random contrast: 0.6914
Normal loss: 0.6146, Plan similarity: 0.9844, Random contrast: 0.6875
Normal loss: 0.7443, Plan similarity: 0.0781, Random contrast: 0.5938
Normal loss: 0.5843, Plan similarity: 0.1289, Random contrast: 0.6016
Normal loss: 0.6208, Plan similarity: 0.0615, Random contrast: 0.6797
Normal loss: 0.5285, Plan similarity: 0.0645, Random contrast: 0.6797
Normal loss: 0.8739, Plan similarity: 0.2070, Random contrast: 0.6016
Normal loss: 0.7214, Plan similarity: 0.1357, Random contrast: 0.5938
Normal loss: 0.9074, Plan similarity: 0.0688, Random contrast: 0.6562
Normal loss: 0.8215, Plan similarity: 0.1455, Random contrast: 0.6211
Normal loss: 0.6315, Plan similarity: 0.1006, Random contrast: 0.6562
Normal loss: 0.6877, Plan similarity: 0.1650, Random contrast: 0.5547
Normal loss: 0.6172, Plan similarity: 3.6094, Random contrast: 0.6562
Normal loss: 0.6013, Plan similarity: 0.0791, Random contrast: 0.6602
Normal loss: 0.5014, Plan similarity: 1.8203, Random contrast: 0.6875
Normal loss: 0.5779, Plan similarity: 0.8047, Random contrast: 0.6875
Normal loss: 0.3820, Plan similarity: 0.0771, Random contrast: 0.6875
Normal loss: 0.4049, Plan similarity: 0.0586, Random contrast: 0.6875
Normal loss: 0.5042, Plan similarity: 0.0488, Random contrast: 0.6875
Normal loss: 0.5049, Plan similarity: 3.6406, Random contrast: 0.6875
Normal loss: 0.4896, Plan similarity: 0.1006, Random contrast: 0.6875
Normal loss: 0.5057, Plan similarity: 0.0391, Random contrast: 0.6914
Normal loss: 0.4245, Plan similarity: 0.0859, Random contrast: 0.6875
Normal loss: 0.5220, Plan similarity: 0.0522, Random contrast: 0.6875
Normal loss: 0.4415, Plan similarity: 3.5469, Random contrast: 0.6875
Normal loss: 0.5629, Plan similarity: 1.0703, Random contrast: 0.6875
Normal loss: 0.4001, Plan similarity: 0.0586, Random contrast: 0.6914
Normal loss: 0.5223, Plan similarity: 3.2656, Random contrast: 0.6875
Normal loss: 0.4963, Plan similarity: 0.0903, Random contrast: 0.6875
Normal loss: 0.4883, Plan similarity: 2.0000, Random contrast: 0.6875
Normal loss: 0.4575, Plan similarity: 0.0493, Random contrast: 0.6914
Normal loss: 0.4957, Plan similarity: 2.9531, Random contrast: 0.6914
Normal loss: 0.5623, Plan similarity: 0.0825, Random contrast: 0.6875
Normal loss: 0.5561, Plan similarity: 0.1016, Random contrast: 0.6719
Normal loss: 0.5910, Plan similarity: 0.0645, Random contrast: 0.6875
Normal loss: 0.6478, Plan similarity: 0.0396, Random contrast: 0.6875
Normal loss: 0.4504, Plan similarity: 0.0559, Random contrast: 0.6875
Normal loss: 0.5253, Plan similarity: 0.0713, Random contrast: 0.6875
Normal loss: 0.4760, Plan similarity: 0.0537, Random contrast: 0.6797
Normal loss: 0.4524, Plan similarity: 0.1963, Random contrast: 0.6562
Normal loss: 0.5141, Plan similarity: 0.0781, Random contrast: 0.6797
Normal loss: 0.4643, Plan similarity: 0.0840, Random contrast: 0.5859
Normal loss: 0.5016, Plan similarity: 0.0693, Random contrast: 0.6875
Normal loss: 0.4033, Plan similarity: 0.2402, Random contrast: 0.6875
Normal loss: 0.5640, Plan similarity: 0.2695, Random contrast: 0.6836
Normal loss: 0.5809, Plan similarity: 0.8242, Random contrast: 0.5703
Normal loss: 0.4576, Plan similarity: 0.9883, Random contrast: 0.6328
Normal loss: 0.5909, Plan similarity: 2.9375, Random contrast: 0.3730
Normal loss: 0.5955, Plan similarity: 0.4160, Random contrast: 0.6602
Normal loss: 0.4581, Plan similarity: 1.3750, Random contrast: 0.6875
Normal loss: 0.7579, Plan similarity: 8.5000, Random contrast: 0.6328
Normal loss: 0.8880, Plan similarity: 2.0625, Random contrast: 0.2051
Normal loss: 0.5613, Plan similarity: 0.1523, Random contrast: 0.6797
Normal loss: 0.3967, Plan similarity: 0.2246, Random contrast: 0.5469
Normal loss: 0.5958, Plan similarity: 2.0156, Random contrast: 0.4609
Normal loss: 1.6163, Plan similarity: 0.9062, Random contrast: 0.4648
Normal loss: 0.7872, Plan similarity: 0.9219, Random contrast: 0.3613
Normal loss: 0.5840, Plan similarity: 0.6211, Random contrast: 0.5430
Normal loss: 0.6641, Plan similarity: 2.0000, Random contrast: 0.6719
Normal loss: 0.5572, Plan similarity: 6.7500, Random contrast: 0.6875
Normal loss: 0.5876, Plan similarity: 3.1250, Random contrast: 0.4727
Normal loss: 0.4719, Plan similarity: 4.5625, Random contrast: 0.6680
Normal loss: 0.5648, Plan similarity: 5.1250, Random contrast: 0.6797
Normal loss: 0.8916, Plan similarity: 2.1719, Random contrast: 0.6172
Normal loss: 0.8562, Plan similarity: 2.5469, Random contrast: 0.6055
Normal loss: 0.8420, Plan similarity: 2.1562, Random contrast: 0.5625
Normal loss: 1.2638, Plan similarity: 1.9219, Random contrast: 0.5469
Normal loss: 1.1265, Plan similarity: 1.2734, Random contrast: 0.6016
Normal loss: 0.9513, Plan similarity: 1.8750, Random contrast: 0.6250
Normal loss: 0.6570, Plan similarity: 0.8867, Random contrast: 0.6875
Normal loss: 0.7675, Plan similarity: 1.1250, Random contrast: 0.6484
Normal loss: 0.6402, Plan similarity: 2.5781, Random contrast: 0.6875
Normal loss: 0.5821, Plan similarity: 0.3613, Random contrast: 0.6797
Normal loss: 0.6224, Plan similarity: 0.7852, Random contrast: 0.6875
Normal loss: 0.5106, Plan similarity: 6.0000, Random contrast: 0.6875
Normal loss: 0.6394, Plan similarity: 0.5781, Random contrast: 0.6875
Normal loss: 0.5354, Plan similarity: 0.6250, Random contrast: 0.6875
Normal loss: 0.5605, Plan similarity: 0.3926, Random contrast: 0.6875
Normal loss: 0.4664, Plan similarity: 2.7500, Random contrast: 0.6875
Normal loss: 0.5266, Plan similarity: 0.9180, Random contrast: 0.6875
Normal loss: 0.4528, Plan similarity: 0.2422, Random contrast: 0.6875
Normal loss: 0.6645, Plan similarity: 0.6445, Random contrast: 0.6875
Normal loss: 0.4442, Plan similarity: 2.5156, Random contrast: 0.6875
Normal loss: 0.4861, Plan similarity: 0.3320, Random contrast: 0.6875
Normal loss: 0.5257, Plan similarity: 0.6016, Random contrast: 0.6875
Normal loss: 0.4383, Plan similarity: 0.4648, Random contrast: 0.6875
Normal loss: 0.6263, Plan similarity: 0.5664, Random contrast: 0.6758
Normal loss: 0.3828, Plan similarity: 0.5352, Random contrast: 0.6875
Normal loss: 0.5571, Plan similarity: 2.8750, Random contrast: 0.6836
Normal loss: 0.4838, Plan similarity: 0.4102, Random contrast: 0.6797
Normal loss: 0.6607, Plan similarity: 0.2578, Random contrast: 0.6875
Normal loss: 0.4451, Plan similarity: 0.3594, Random contrast: 0.6875
Normal loss: 0.5247, Plan similarity: 0.3242, Random contrast: 0.6875
Normal loss: 0.5786, Plan similarity: 0.3516, Random contrast: 0.6875
Normal loss: 0.4111, Plan similarity: 0.3086, Random contrast: 0.6875
Normal loss: 0.4859, Plan similarity: 0.8516, Random contrast: 0.6875
Normal loss: 0.4493, Plan similarity: 1.2422, Random contrast: 0.6445
Normal loss: 0.4432, Plan similarity: 0.5547, Random contrast: 0.6406
Normal loss: 0.3887, Plan similarity: 0.2480, Random contrast: 0.6875
Normal loss: 0.6440, Plan similarity: 0.3867, Random contrast: 0.6875
Normal loss: 0.3935, Plan similarity: 2.6406, Random contrast: 0.6289
Normal loss: 0.4492, Plan similarity: 0.4414, Random contrast: 0.6875
Normal loss: 0.4923, Plan similarity: 0.4199, Random contrast: 0.6914
Normal loss: 0.5710, Plan similarity: 2.8438, Random contrast: 0.5508
Normal loss: 0.4165, Plan similarity: 0.3438, Random contrast: 0.5820
Normal loss: 0.6716, Plan similarity: 0.5664, Random contrast: 0.5781
Normal loss: 0.7630, Plan similarity: 1.0078, Random contrast: 0.6641
Normal loss: 1.1528, Plan similarity: 0.9336, Random contrast: 0.4980
Normal loss: 0.6670, Plan similarity: 3.2188, Random contrast: 0.4805
Normal loss: 0.5823, Plan similarity: 2.7656, Random contrast: 0.5547
Normal loss: 0.4912, Plan similarity: 0.6641, Random contrast: 0.5781
Normal loss: 0.4430, Plan similarity: 0.4707, Random contrast: 0.6406
Normal loss: 0.3445, Plan similarity: 0.3984, Random contrast: 0.6094
Normal loss: 0.4465, Plan similarity: 3.0000, Random contrast: 0.3867
Normal loss: 0.3702, Plan similarity: 0.6758, Random contrast: 0.6680
Normal loss: 0.3763, Plan similarity: 7.6250, Random contrast: 0.6680
Normal loss: 0.3917, Plan similarity: 0.5547, Random contrast: 0.5703
Normal loss: 0.3560, Plan similarity: 0.6641, Random contrast: 0.6172
Normal loss: 0.5092, Plan similarity: 3.7188, Random contrast: 0.5156
Normal loss: 0.4080, Plan similarity: 0.5273, Random contrast: 0.5469
Normal loss: 0.4255, Plan similarity: 3.8125, Random contrast: 0.6328
Normal loss: 0.4871, Plan similarity: 0.4902, Random contrast: 0.5469
Normal loss: 0.3909, Plan similarity: 0.9922, Random contrast: 0.5547
Normal loss: 0.2920, Plan similarity: 0.9492, Random contrast: 0.6797
Normal loss: 0.3776, Plan similarity: 0.5703, Random contrast: 0.5859
Normal loss: 0.4187, Plan similarity: 0.2520, Random contrast: 0.6562
Normal loss: 0.3748, Plan similarity: 0.2812, Random contrast: 0.6797
Normal loss: 0.4108, Plan similarity: 0.7422, Random contrast: 0.6875
Normal loss: 0.4392, Plan similarity: 0.3047, Random contrast: 0.6641
Normal loss: 0.4157, Plan similarity: 0.2617, Random contrast: 0.6641
Normal loss: 0.4203, Plan similarity: 0.5195, Random contrast: 0.4512
Normal loss: 0.3040, Plan similarity: 0.5430, Random contrast: 0.5938
Normal loss: 0.4627, Plan similarity: 1.1172, Random contrast: 0.4512
Normal loss: 0.3349, Plan similarity: 0.6250, Random contrast: 0.6484
Normal loss: 0.4286, Plan similarity: 0.8945, Random contrast: 0.6797
Normal loss: 0.3551, Plan similarity: 0.9609, Random contrast: 0.6836
Normal loss: 0.5301, Plan similarity: 0.5234, Random contrast: 0.6797
Normal loss: 0.3649, Plan similarity: 0.6328, Random contrast: 0.6797
Normal loss: 0.4404, Plan similarity: 1.3359, Random contrast: 0.6562
Normal loss: 0.4728, Plan similarity: 3.8125, Random contrast: 0.6836
Normal loss: 0.3844, Plan similarity: 0.3750, Random contrast: 0.6875
Normal loss: 0.5098, Plan similarity: 0.2969, Random contrast: 0.6641
Normal loss: 0.3301, Plan similarity: 2.2188, Random contrast: 0.6797
Normal loss: 0.3430, Plan similarity: 0.2754, Random contrast: 0.6719
Normal loss: 0.3149, Plan similarity: 0.2988, Random contrast: 0.6875
Normal loss: 0.5019, Plan similarity: 3.8281, Random contrast: 0.6875
Normal loss: 0.4250, Plan similarity: 0.4961, Random contrast: 0.6797
Normal loss: 0.4619, Plan similarity: 0.6641, Random contrast: 0.6875
Normal loss: 0.4242, Plan similarity: 0.2402, Random contrast: 0.6875
Normal loss: 0.4834, Plan similarity: 1.2266, Random contrast: 0.6875
Normal loss: 0.4074, Plan similarity: 3.2344, Random contrast: 0.6875
Normal loss: 0.4019, Plan similarity: 3.3750, Random contrast: 0.6875
Normal loss: 0.2945, Plan similarity: 0.2969, Random contrast: 0.6875
Normal loss: 0.3834, Plan similarity: 0.3906, Random contrast: 0.6875
Normal loss: 0.5016, Plan similarity: 1.4141, Random contrast: 0.6875
Normal loss: 0.4619, Plan similarity: 0.3613, Random contrast: 0.6797
Normal loss: 0.4501, Plan similarity: 0.3184, Random contrast: 0.6875
Normal loss: 0.3528, Plan similarity: 2.8281, Random contrast: 0.6797
Normal loss: 0.3592, Plan similarity: 2.2656, Random contrast: 0.6836
Normal loss: 0.4135, Plan similarity: 2.7969, Random contrast: 0.6445
Normal loss: 0.3929, Plan similarity: 0.5781, Random contrast: 0.6875
Normal loss: 0.4188, Plan similarity: 2.4844, Random contrast: 0.6484
Normal loss: 0.3912, Plan similarity: 0.3164, Random contrast: 0.6641
Normal loss: 0.3582, Plan similarity: 0.2285, Random contrast: 0.6836
Normal loss: 0.5241, Plan similarity: 0.2148, Random contrast: 0.6875
Normal loss: 0.4680, Plan similarity: 0.4688, Random contrast: 0.6797
Normal loss: 0.4760, Plan similarity: 0.3867, Random contrast: 0.6875
Normal loss: 0.4705, Plan similarity: 0.4648, Random contrast: 0.5547
Normal loss: 0.3956, Plan similarity: 2.6562, Random contrast: 0.6797
Normal loss: 0.4015, Plan similarity: 0.9844, Random contrast: 0.6484
Normal loss: 0.3341, Plan similarity: 3.2812, Random contrast: 0.6641
Normal loss: 0.3632, Plan similarity: 0.7305, Random contrast: 0.4961
Normal loss: 0.3600, Plan similarity: 0.7500, Random contrast: 0.6016
Normal loss: 0.4534, Plan similarity: 0.7422, Random contrast: 0.6406
Normal loss: 0.3570, Plan similarity: 0.8906, Random contrast: 0.4609
Normal loss: 0.4446, Plan similarity: 0.6250, Random contrast: 0.5547
Normal loss: 0.3711, Plan similarity: 2.8125, Random contrast: 0.6875
Normal loss: 0.3523, Plan similarity: 0.9609, Random contrast: 0.6875
Normal loss: 0.4020, Plan similarity: 0.7227, Random contrast: 0.6875
Normal loss: 0.3569, Plan similarity: 0.7578, Random contrast: 0.6836
Normal loss: 0.3139, Plan similarity: 0.4902, Random contrast: 0.6797
Normal loss: 0.3076, Plan similarity: 0.9492, Random contrast: 0.6797
Normal loss: 0.3369, Plan similarity: 1.9375, Random contrast: 0.6875
Normal loss: 0.2903, Plan similarity: 0.7500, Random contrast: 0.6094
Normal loss: 0.3720, Plan similarity: 0.3340, Random contrast: 0.6406
Normal loss: 0.4339, Plan similarity: 0.5352, Random contrast: 0.6680
Normal loss: 0.3830, Plan similarity: 2.4219, Random contrast: 0.6875
Normal loss: 0.4413, Plan similarity: 1.7031, Random contrast: 0.6562
Normal loss: 0.2753, Plan similarity: 2.2812, Random contrast: 0.6602
Normal loss: 0.2823, Plan similarity: 0.7422, Random contrast: 0.6758
Normal loss: 0.3096, Plan similarity: 0.7070, Random contrast: 0.6484
Normal loss: 0.3616, Plan similarity: 3.9531, Random contrast: 0.4922
Normal loss: 0.3036, Plan similarity: 0.7148, Random contrast: 0.5781
Normal loss: 0.3062, Plan similarity: 1.2188, Random contrast: 0.6797
Normal loss: 0.5398, Plan similarity: 0.4473, Random contrast: 0.6562
Normal loss: 0.5348, Plan similarity: 0.9297, Random contrast: 0.5938
Normal loss: 0.3726, Plan similarity: 0.2578, Random contrast: 0.6094
Normal loss: 1.1573, Plan similarity: 1.2500, Random contrast: 0.0000
Normal loss: 0.4208, Plan similarity: 0.5195, Random contrast: 0.6484
Normal loss: 0.4851, Plan similarity: 0.2871, Random contrast: 0.6211
Normal loss: 0.4323, Plan similarity: 0.7422, Random contrast: 0.6289
Normal loss: 0.5190, Plan similarity: 4.1250, Random contrast: 0.5898
Normal loss: 0.5244, Plan similarity: 0.6016, Random contrast: 0.6523
Normal loss: 0.5697, Plan similarity: 0.4082, Random contrast: 0.6094
Normal loss: 0.3261, Plan similarity: 0.5234, Random contrast: 0.6484
Normal loss: 0.5123, Plan similarity: 0.5430, Random contrast: 0.6250
Normal loss: 0.8158, Plan similarity: 0.5977, Random contrast: 0.5391
Normal loss: 0.4024, Plan similarity: 3.5938, Random contrast: 0.6172
Normal loss: 0.5420, Plan similarity: 0.3242, Random contrast: 0.6250
Normal loss: 0.3819, Plan similarity: 0.4414, Random contrast: 0.5469
Normal loss: 0.4066, Plan similarity: 3.7812, Random contrast: 0.5312
Normal loss: 0.3527, Plan similarity: 1.4062, Random contrast: 0.5977
Normal loss: 0.3783, Plan similarity: 2.9062, Random contrast: 0.5547
Normal loss: 0.4542, Plan similarity: 0.8203, Random contrast: 0.5078
Normal loss: 0.4000, Plan similarity: 0.7773, Random contrast: 0.4844
Normal loss: 0.4305, Plan similarity: 0.9531, Random contrast: 0.6094
Normal loss: 0.3865, Plan similarity: 0.8516, Random contrast: 0.6602
Normal loss: 0.3960, Plan similarity: 2.3594, Random contrast: 0.6562
Normal loss: 0.3821, Plan similarity: 3.1562, Random contrast: 0.6484
Normal loss: 0.5064, Plan similarity: 3.2656, Random contrast: 0.5625
Normal loss: 0.6834, Plan similarity: 2.3281, Random contrast: 0.4531
Normal loss: 0.5742, Plan similarity: 3.8438, Random contrast: 0.5977
Normal loss: 0.5289, Plan similarity: 1.3750, Random contrast: 0.5547
Normal loss: 0.3773, Plan similarity: 2.2188, Random contrast: 0.6172
Normal loss: 0.5605, Plan similarity: 3.7969, Random contrast: 0.5586
Normal loss: 0.4268, Plan similarity: 1.0781, Random contrast: 0.6562
Normal loss: 0.5405, Plan similarity: 0.6914, Random contrast: 0.4805
Normal loss: 0.3765, Plan similarity: 2.8906, Random contrast: 0.6406
Normal loss: 0.3881, Plan similarity: 0.5859, Random contrast: 0.6172
Normal loss: 0.4427, Plan similarity: 2.3438, Random contrast: 0.5938
Normal loss: 0.4691, Plan similarity: 2.0469, Random contrast: 0.6484
Normal loss: 0.4082, Plan similarity: 3.2969, Random contrast: 0.6641
Normal loss: 0.6048, Plan similarity: 1.7500, Random contrast: 0.6328
Normal loss: 0.4907, Plan similarity: 2.1250, Random contrast: 0.5859
Normal loss: 0.5100, Plan similarity: 0.9766, Random contrast: 0.6016
Normal loss: 0.3865, Plan similarity: 2.1406, Random contrast: 0.5938
Normal loss: 0.5503, Plan similarity: 1.4062, Random contrast: 0.5625
Normal loss: 0.4756, Plan similarity: 2.1562, Random contrast: 0.6445
Normal loss: 0.3817, Plan similarity: 2.4688, Random contrast: 0.6094
Normal loss: 0.4241, Plan similarity: 2.2812, Random contrast: 0.5938
Normal loss: 0.5521, Plan similarity: 1.7109, Random contrast: 0.6328
Normal loss: 0.5302, Plan similarity: 3.7031, Random contrast: 0.6328
Normal loss: 0.4702, Plan similarity: 1.4375, Random contrast: 0.5781
Normal loss: 0.5176, Plan similarity: 1.9297, Random contrast: 0.6172
Normal loss: 0.6319, Plan similarity: 2.7500, Random contrast: 0.5898
Normal loss: 0.5304, Plan similarity: 2.8750, Random contrast: 0.5742
Normal loss: 0.4608, Plan similarity: 4.1562, Random contrast: 0.6016
Normal loss: 0.4873, Plan similarity: 3.5625, Random contrast: 0.5859
Normal loss: 0.3875, Plan similarity: 2.4375, Random contrast: 0.6094
Normal loss: 0.6513, Plan similarity: 2.0781, Random contrast: 0.6484
Normal loss: 0.6500, Plan similarity: 2.0000, Random contrast: 0.6172
Normal loss: 0.4006, Plan similarity: 1.7031, Random contrast: 0.6016
Normal loss: 0.3346, Plan similarity: 2.1875, Random contrast: 0.4805
Normal loss: 0.5175, Plan similarity: 2.4844, Random contrast: 0.4258
Normal loss: 0.4602, Plan similarity: 1.8125, Random contrast: 0.6250
Normal loss: 0.4039, Plan similarity: 3.9688, Random contrast: 0.4648
Normal loss: 0.5161, Plan similarity: 2.0625, Random contrast: 0.5547
Normal loss: 0.4624, Plan similarity: 3.3125, Random contrast: 0.6602
Normal loss: 0.5047, Plan similarity: 1.5938, Random contrast: 0.6719
Normal loss: 0.4462, Plan similarity: 1.8281, Random contrast: 0.5859
Normal loss: 0.3650, Plan similarity: 2.2344, Random contrast: 0.6094
Normal loss: 0.5656, Plan similarity: 2.0625, Random contrast: 0.6523
Normal loss: 0.5167, Plan similarity: 2.3750, Random contrast: 0.6406
Normal loss: 0.4946, Plan similarity: 3.7500, Random contrast: 0.5234
Normal loss: 0.4158, Plan similarity: 2.5938, Random contrast: 0.5938
Normal loss: 0.4535, Plan similarity: 3.5000, Random contrast: 0.5234
Normal loss: 0.4666, Plan similarity: 2.4531, Random contrast: 0.5781
Normal loss: 0.4500, Plan similarity: 2.0312, Random contrast: 0.5586
Normal loss: 0.3916, Plan similarity: 1.4531, Random contrast: 0.3711
Normal loss: 0.4954, Plan similarity: 2.4375, Random contrast: 0.5234
Normal loss: 0.5828, Plan similarity: 2.3906, Random contrast: 0.4219
Normal loss: 0.4147, Plan similarity: 0.7422, Random contrast: 0.6484
Normal loss: 0.3482, Plan similarity: 2.5938, Random contrast: 0.4180
Normal loss: 0.4812, Plan similarity: 1.4297, Random contrast: 0.5469
Normal loss: 0.3945, Plan similarity: 1.2891, Random contrast: 0.3965
Normal loss: 0.4645, Plan similarity: 1.2812, Random contrast: 0.6133
Normal loss: 0.4879, Plan similarity: 1.5703, Random contrast: 0.4766
Normal loss: 0.3059, Plan similarity: 2.1719, Random contrast: 0.4141
Normal loss: 0.3719, Plan similarity: 2.4062, Random contrast: 0.6289
Normal loss: 0.3867, Plan similarity: 1.3750, Random contrast: 0.6016
Normal loss: 0.4627, Plan similarity: 3.1250, Random contrast: 0.4707
Normal loss: 0.3091, Plan similarity: 1.3750, Random contrast: 0.5625
Normal loss: 0.3726, Plan similarity: 3.0469, Random contrast: 0.3203
Normal loss: 0.3285, Plan similarity: 2.9688, Random contrast: 0.6055
Normal loss: 0.4827, Plan similarity: 1.6406, Random contrast: 0.5859
Normal loss: 0.4452, Plan similarity: 1.1406, Random contrast: 0.5312
Normal loss: 0.4118, Plan similarity: 1.4688, Random contrast: 0.6094
Normal loss: 0.4910, Plan similarity: 1.2188, Random contrast: 0.4961
Normal loss: 0.3844, Plan similarity: 2.4688, Random contrast: 0.5781
Normal loss: 0.3857, Plan similarity: 3.9688, Random contrast: 0.5859
Normal loss: 0.5306, Plan similarity: 0.7969, Random contrast: 0.6133
Normal loss: 0.3609, Plan similarity: 3.6250, Random contrast: 0.4609
Normal loss: 0.2760, Plan similarity: 3.1719, Random contrast: 0.6055
Normal loss: 0.2918, Plan similarity: 3.4219, Random contrast: 0.5352
Normal loss: 0.3503, Plan similarity: 1.8750, Random contrast: 0.4766
Normal loss: 0.4445, Plan similarity: 0.8789, Random contrast: 0.6055
Normal loss: 0.3651, Plan similarity: 5.2812, Random contrast: 0.5938
Normal loss: 0.4617, Plan similarity: 1.8125, Random contrast: 0.4980
Normal loss: 0.3113, Plan similarity: 2.2656, Random contrast: 0.5391
Normal loss: 0.5802, Plan similarity: 1.0156, Random contrast: 0.4805
Normal loss: 0.4245, Plan similarity: 1.3125, Random contrast: 0.5234
Normal loss: 0.3761, Plan similarity: 0.9062, Random contrast: 0.4492
Normal loss: 0.5473, Plan similarity: 1.3984, Random contrast: 0.4102
Normal loss: 0.5336, Plan similarity: 0.8516, Random contrast: 0.4609
Normal loss: 0.4642, Plan similarity: 0.6719, Random contrast: 0.4805
Normal loss: 0.4829, Plan similarity: 0.6250, Random contrast: 0.5039
Normal loss: 0.4997, Plan similarity: 2.2812, Random contrast: 0.4688
Normal loss: 0.8665, Plan similarity: 2.6562, Random contrast: 0.4570
Normal loss: 0.5755, Plan similarity: 0.6406, Random contrast: 0.4531
Normal loss: 0.7893, Plan similarity: 0.5078, Random contrast: 0.2930
Normal loss: 0.7007, Plan similarity: 3.9375, Random contrast: 0.4844
Normal loss: 0.3700, Plan similarity: 1.4453, Random contrast: 0.4238
Normal loss: 0.4966, Plan similarity: 0.8594, Random contrast: 0.5703
Normal loss: 0.4838, Plan similarity: 1.6953, Random contrast: 0.4824
Normal loss: 0.4669, Plan similarity: 0.8047, Random contrast: 0.5000
Normal loss: 0.3507, Plan similarity: 0.7461, Random contrast: 0.5234
Normal loss: 0.3328, Plan similarity: 0.8516, Random contrast: 0.4785
Normal loss: 0.4455, Plan similarity: 0.7148, Random contrast: 0.5547
Normal loss: 0.4087, Plan similarity: 0.7500, Random contrast: 0.6094
Normal loss: 0.3801, Plan similarity: 0.8516, Random contrast: 0.5430
Normal loss: 0.3406, Plan similarity: 0.8750, Random contrast: 0.5508
Normal loss: 0.4742, Plan similarity: 0.8828, Random contrast: 0.4727
