Normal loss: 1.9329, Plan similarity: 0.1982, Random contrast: 0.6719
Normal loss: 0.5438, Plan similarity: 0.4766, Random contrast: 0.6875
Normal loss: 0.5236, Plan similarity: 0.4219, Random contrast: 0.6836
Normal loss: 0.3123, Plan similarity: 0.5391, Random contrast: 0.6875
Normal loss: 0.4994, Plan similarity: 0.6797, Random contrast: 0.6875
Normal loss: 0.3923, Plan similarity: 0.5000, Random contrast: 0.6719
Normal loss: 0.5955, Plan similarity: 0.5898, Random contrast: 0.6602
Normal loss: 0.7221, Plan similarity: 0.7383, Random contrast: 0.5547
Normal loss: 1.0263, Plan similarity: 0.6719, Random contrast: 0.6719
Normal loss: 0.6381, Plan similarity: 0.7031, Random contrast: 0.6836
Normal loss: 0.5812, Plan similarity: 1.8125, Random contrast: 0.6758
Normal loss: 0.5829, Plan similarity: 5.8125, Random contrast: 0.6797
Normal loss: 0.4882, Plan similarity: 0.5781, Random contrast: 0.6875
Normal loss: 0.6090, Plan similarity: 0.4297, Random contrast: 0.6719
Normal loss: 0.4860, Plan similarity: 2.7812, Random contrast: 0.6719
Normal loss: 0.4282, Plan similarity: 0.5703, Random contrast: 0.6875
Normal loss: 0.3712, Plan similarity: 0.5156, Random contrast: 0.6797
Normal loss: 0.5708, Plan similarity: 5.1875, Random contrast: 0.6875
Normal loss: 0.4533, Plan similarity: 0.4141, Random contrast: 0.6641
Normal loss: 0.5170, Plan similarity: 0.0537, Random contrast: 0.6719
Normal loss: 0.4847, Plan similarity: 0.4121, Random contrast: 0.6875
Normal loss: 0.5171, Plan similarity: 1.7344, Random contrast: 0.6758
Normal loss: 0.4910, Plan similarity: 4.8125, Random contrast: 0.6797
Normal loss: 0.4298, Plan similarity: 4.5938, Random contrast: 0.6875
Normal loss: 0.3365, Plan similarity: 0.4219, Random contrast: 0.6797
Normal loss: 0.4507, Plan similarity: 0.3926, Random contrast: 0.6875
Normal loss: 0.5559, Plan similarity: 2.1875, Random contrast: 0.6875
Normal loss: 0.5061, Plan similarity: 0.4141, Random contrast: 0.6875
Normal loss: 0.5298, Plan similarity: 0.3613, Random contrast: 0.6719
Normal loss: 0.3976, Plan similarity: 3.7812, Random contrast: 0.6328
Normal loss: 0.3796, Plan similarity: 3.3750, Random contrast: 0.6797
Normal loss: 0.4313, Plan similarity: 3.7812, Random contrast: 0.6016
Normal loss: 0.4490, Plan similarity: 0.4590, Random contrast: 0.6875
Normal loss: 0.4523, Plan similarity: 3.1719, Random contrast: 0.6875
Normal loss: 0.4055, Plan similarity: 0.3750, Random contrast: 0.6875
Normal loss: 0.3531, Plan similarity: 0.2734, Random contrast: 0.6875
Normal loss: 0.4926, Plan similarity: 0.5312, Random contrast: 0.6875
Normal loss: 0.4849, Plan similarity: 0.4102, Random contrast: 0.6875
Normal loss: 0.4887, Plan similarity: 0.4941, Random contrast: 0.6914
Normal loss: 0.5036, Plan similarity: 0.5469, Random contrast: 0.6875
Normal loss: 0.4338, Plan similarity: 3.1562, Random contrast: 0.6875
Normal loss: 0.4221, Plan similarity: 0.4512, Random contrast: 0.6875
Normal loss: 0.3552, Plan similarity: 4.0625, Random contrast: 0.6875
Normal loss: 0.3671, Plan similarity: 0.3789, Random contrast: 0.6875
Normal loss: 0.4023, Plan similarity: 0.3027, Random contrast: 0.6875
Normal loss: 0.4460, Plan similarity: 0.2852, Random contrast: 0.6875
Normal loss: 0.3689, Plan similarity: 0.3730, Random contrast: 0.6836
Normal loss: 0.4886, Plan similarity: 0.2285, Random contrast: 0.6875
Normal loss: 0.3738, Plan similarity: 3.5938, Random contrast: 0.6875
Normal loss: 0.3783, Plan similarity: 0.3906, Random contrast: 0.6875
Normal loss: 0.4418, Plan similarity: 0.2695, Random contrast: 0.6914
Normal loss: 0.3703, Plan similarity: 0.2930, Random contrast: 0.6875
Normal loss: 0.3352, Plan similarity: 0.2285, Random contrast: 0.6797
Normal loss: 0.3128, Plan similarity: 0.3789, Random contrast: 0.6914
Normal loss: 0.3597, Plan similarity: 1.8438, Random contrast: 0.6914
Normal loss: 0.3491, Plan similarity: 0.2852, Random contrast: 0.6875
Normal loss: 0.4055, Plan similarity: 0.2227, Random contrast: 0.6797
Normal loss: 0.4470, Plan similarity: 0.2012, Random contrast: 0.6797
Normal loss: 0.3762, Plan similarity: 2.8594, Random contrast: 0.6875
Normal loss: 0.4537, Plan similarity: 1.9688, Random contrast: 0.6875
Normal loss: 0.2791, Plan similarity: 2.5312, Random contrast: 0.6875
Normal loss: 0.2958, Plan similarity: 0.3418, Random contrast: 0.6875
Normal loss: 0.3158, Plan similarity: 0.1953, Random contrast: 0.6875
Normal loss: 0.3793, Plan similarity: 3.9375, Random contrast: 0.6875
Normal loss: 0.3318, Plan similarity: 0.2051, Random contrast: 0.6758
Normal loss: 0.3153, Plan similarity: 0.3086, Random contrast: 0.6875
Normal loss: 0.5328, Plan similarity: 0.1543, Random contrast: 0.6875
Normal loss: 0.5115, Plan similarity: 0.1719, Random contrast: 0.6758
Normal loss: 0.2962, Plan similarity: 0.0654, Random contrast: 0.6875
Normal loss: 0.3446, Plan similarity: 0.3086, Random contrast: 0.6797
Normal loss: 0.3786, Plan similarity: 0.1748, Random contrast: 0.6758
Normal loss: 0.3811, Plan similarity: 0.2002, Random contrast: 0.6758
Normal loss: 0.3236, Plan similarity: 0.3633, Random contrast: 0.6641
Normal loss: 0.3757, Plan similarity: 3.9531, Random contrast: 0.6641
Normal loss: 0.4328, Plan similarity: 0.3027, Random contrast: 0.6914
Normal loss: 0.4081, Plan similarity: 0.3145, Random contrast: 0.6875
Normal loss: 0.3021, Plan similarity: 0.4609, Random contrast: 0.6836
Normal loss: 0.4108, Plan similarity: 0.3086, Random contrast: 0.6875
Normal loss: 0.4283, Plan similarity: 0.3086, Random contrast: 0.6875
Normal loss: 0.3389, Plan similarity: 2.8125, Random contrast: 0.6875
Normal loss: 0.5038, Plan similarity: 0.3320, Random contrast: 0.6797
Normal loss: 0.3963, Plan similarity: 0.3633, Random contrast: 0.6875
Normal loss: 0.4399, Plan similarity: 2.9688, Random contrast: 0.6797
Normal loss: 0.3543, Plan similarity: 0.7891, Random contrast: 0.4805
Normal loss: 0.3692, Plan similarity: 2.3594, Random contrast: 0.6562
Normal loss: 0.4626, Plan similarity: 0.3984, Random contrast: 0.5391
Normal loss: 0.3659, Plan similarity: 0.0981, Random contrast: 0.6016
Normal loss: 0.4103, Plan similarity: 0.4238, Random contrast: 0.6328
Normal loss: 0.3766, Plan similarity: 0.3809, Random contrast: 0.5234
Normal loss: 0.3742, Plan similarity: 2.1719, Random contrast: 0.4688
Normal loss: 0.3311, Plan similarity: 3.2188, Random contrast: 0.6641
Normal loss: 0.3476, Plan similarity: 3.0000, Random contrast: 0.4570
Normal loss: 0.4512, Plan similarity: 2.3125, Random contrast: 0.6758
Normal loss: 0.3488, Plan similarity: 3.7188, Random contrast: 0.4844
Normal loss: 0.2573, Plan similarity: 1.2188, Random contrast: 0.4980
Normal loss: 0.3056, Plan similarity: 2.0469, Random contrast: 0.5000
Normal loss: 0.3640, Plan similarity: 3.9375, Random contrast: 0.4219
Normal loss: 0.3670, Plan similarity: 0.9297, Random contrast: 0.5625
Normal loss: 0.5322, Plan similarity: 0.3281, Random contrast: 0.4258
Normal loss: 0.3360, Plan similarity: 3.0469, Random contrast: 0.4414
Normal loss: 0.3715, Plan similarity: 0.6016, Random contrast: 0.6875
Normal loss: 0.3622, Plan similarity: 0.7344, Random contrast: 0.4238
Normal loss: 0.3778, Plan similarity: 0.8477, Random contrast: 0.5000
Normal loss: 0.3461, Plan similarity: 2.6250, Random contrast: 0.6875
Normal loss: 0.4956, Plan similarity: 0.3574, Random contrast: 0.5547
Normal loss: 0.4009, Plan similarity: 0.3398, Random contrast: 0.6680
Normal loss: 0.4064, Plan similarity: 0.0894, Random contrast: 0.6250
Normal loss: 0.3167, Plan similarity: 0.3555, Random contrast: 0.6055
Normal loss: 0.3585, Plan similarity: 0.2070, Random contrast: 0.6562
Normal loss: 0.4363, Plan similarity: 0.4766, Random contrast: 0.6562
Normal loss: 0.2667, Plan similarity: 3.8594, Random contrast: 0.6094
Normal loss: 0.4237, Plan similarity: 0.6875, Random contrast: 0.4336
Normal loss: 0.4324, Plan similarity: 1.5000, Random contrast: 0.6094
Normal loss: 0.4179, Plan similarity: 4.6250, Random contrast: 0.6758
Normal loss: 0.4188, Plan similarity: 0.3809, Random contrast: 0.6875
Normal loss: 0.4327, Plan similarity: 0.6055, Random contrast: 0.6562
Normal loss: 0.3899, Plan similarity: 2.2500, Random contrast: 0.6562
Normal loss: 0.4835, Plan similarity: 0.5312, Random contrast: 0.6641
Normal loss: 0.3917, Plan similarity: 5.8438, Random contrast: 0.5039
Normal loss: 0.4233, Plan similarity: 2.8125, Random contrast: 0.6875
Normal loss: 0.2986, Plan similarity: 2.3438, Random contrast: 0.4727
Normal loss: 0.6470, Plan similarity: 0.6094, Random contrast: 0.6016
Normal loss: 0.6839, Plan similarity: 0.5859, Random contrast: 0.6484
Normal loss: 0.5012, Plan similarity: 0.3320, Random contrast: 0.5039
Normal loss: 0.3747, Plan similarity: 1.5938, Random contrast: 0.6250
Normal loss: 0.5071, Plan similarity: 0.5391, Random contrast: 0.5508
Normal loss: 0.3717, Plan similarity: 0.5625, Random contrast: 0.3887
Normal loss: 0.3849, Plan similarity: 3.4688, Random contrast: 0.5742
Normal loss: 0.4711, Plan similarity: 0.5117, Random contrast: 0.6719
Normal loss: 0.4230, Plan similarity: 2.4375, Random contrast: 0.3848
Normal loss: 0.3991, Plan similarity: 0.6016, Random contrast: 0.5195
Normal loss: 0.4042, Plan similarity: 0.7148, Random contrast: 0.6758
Normal loss: 0.3555, Plan similarity: 0.2734, Random contrast: 0.6914
Normal loss: 0.5514, Plan similarity: 0.2969, Random contrast: 0.6875
Normal loss: 0.5196, Plan similarity: 1.6484, Random contrast: 0.6250
Normal loss: 0.4387, Plan similarity: 3.6406, Random contrast: 0.6836
Normal loss: 0.4250, Plan similarity: 0.3867, Random contrast: 0.6094
Normal loss: 0.4244, Plan similarity: 2.9688, Random contrast: 0.4961
Normal loss: 0.4579, Plan similarity: 0.6875, Random contrast: 0.4375
Normal loss: 0.4154, Plan similarity: 0.4648, Random contrast: 0.4316
Normal loss: 0.3612, Plan similarity: 0.5312, Random contrast: 0.5352
Normal loss: 0.4620, Plan similarity: 1.8984, Random contrast: 0.4219
Normal loss: 0.5554, Plan similarity: 0.8555, Random contrast: 0.5039
Normal loss: 0.3986, Plan similarity: 0.9219, Random contrast: 0.3887
Normal loss: 0.3337, Plan similarity: 1.2500, Random contrast: 0.5547
Normal loss: 0.4600, Plan similarity: 0.7031, Random contrast: 0.4375
Normal loss: 0.3759, Plan similarity: 0.7969, Random contrast: 0.5156
Normal loss: 0.4525, Plan similarity: 0.7344, Random contrast: 0.4844
Normal loss: 0.4158, Plan similarity: 0.6797, Random contrast: 0.6797
Normal loss: 0.2825, Plan similarity: 1.6719, Random contrast: 0.4258
Normal loss: 0.3513, Plan similarity: 2.1875, Random contrast: 0.5938
Normal loss: 0.3452, Plan similarity: 0.8047, Random contrast: 0.5078
Normal loss: 0.4304, Plan similarity: 3.1875, Random contrast: 0.4570
Normal loss: 0.2685, Plan similarity: 0.7188, Random contrast: 0.6641
Normal loss: 0.3760, Plan similarity: 2.8906, Random contrast: 0.4570
Normal loss: 0.3180, Plan similarity: 1.9609, Random contrast: 0.5391
Normal loss: 0.4948, Plan similarity: 1.4609, Random contrast: 0.6211
Normal loss: 0.5353, Plan similarity: 0.3789, Random contrast: 0.4316
Normal loss: 0.4622, Plan similarity: 0.6445, Random contrast: 0.4004
Normal loss: 0.5235, Plan similarity: 0.4492, Random contrast: 0.4688
Normal loss: 0.4443, Plan similarity: 0.4160, Random contrast: 0.6562
Normal loss: 1.0082, Plan similarity: 1.9375, Random contrast: 0.6484
Normal loss: 1.0730, Plan similarity: 0.4004, Random contrast: 0.6172
Normal loss: 0.8391, Plan similarity: 2.1406, Random contrast: 0.6719
Normal loss: 0.5434, Plan similarity: 2.4062, Random contrast: 0.6328
Normal loss: 0.5342, Plan similarity: 2.3125, Random contrast: 0.6445
Normal loss: 0.5525, Plan similarity: 0.4062, Random contrast: 0.6719
Normal loss: 1.0771, Plan similarity: 0.7734, Random contrast: 0.2324
Normal loss: 0.6724, Plan similarity: 5.3125, Random contrast: 0.3867
Normal loss: 0.6246, Plan similarity: 0.2158, Random contrast: 0.6875
Normal loss: 0.4321, Plan similarity: 2.5312, Random contrast: 0.6797
Normal loss: 0.4494, Plan similarity: 0.3711, Random contrast: 0.6875
Normal loss: 0.4723, Plan similarity: 0.2344, Random contrast: 0.6836
Normal loss: 0.5186, Plan similarity: 0.1875, Random contrast: 0.6875
Normal loss: 0.6307, Plan similarity: 0.2012, Random contrast: 0.6875
Normal loss: 0.5332, Plan similarity: 0.6797, Random contrast: 0.6875
Normal loss: 0.4944, Plan similarity: 0.0791, Random contrast: 0.6914
Normal loss: 0.4858, Plan similarity: 0.0928, Random contrast: 0.6875
Normal loss: 0.5008, Plan similarity: 2.4375, Random contrast: 0.6875
Normal loss: 0.6590, Plan similarity: 3.0000, Random contrast: 0.6875
Normal loss: 0.4748, Plan similarity: 0.0771, Random contrast: 0.6875
Normal loss: 0.4872, Plan similarity: 0.1426, Random contrast: 0.6914
Normal loss: 0.5320, Plan similarity: 3.5625, Random contrast: 0.6875
Normal loss: 0.3622, Plan similarity: 1.0938, Random contrast: 0.6875
Normal loss: 0.5112, Plan similarity: 0.0703, Random contrast: 0.6914
Normal loss: 0.5288, Plan similarity: 1.2500, Random contrast: 0.6875
Normal loss: 0.5080, Plan similarity: 0.0522, Random contrast: 0.6875
Normal loss: 0.3725, Plan similarity: 0.0530, Random contrast: 0.6875
Normal loss: 0.4086, Plan similarity: 0.0938, Random contrast: 0.6836
Normal loss: 0.4525, Plan similarity: 0.0713, Random contrast: 0.6875
Normal loss: 0.4463, Plan similarity: 0.0391, Random contrast: 0.6875
Normal loss: 0.4002, Plan similarity: 0.0405, Random contrast: 0.6875
Normal loss: 0.4484, Plan similarity: 0.0366, Random contrast: 0.6914
Normal loss: 0.4854, Plan similarity: 0.0469, Random contrast: 0.6875
